"Dealer Name","Contact Person","Address","City","State","Contact 1","Contact 2","Email"
"Satyam Honda","Mr. Sushil Kumar Soni","Plot No 574/2,575 Vill.Chhattar Po. Bhira Tehsil And Distt Hamirpur 177001","Hamirpur","Himachal Pradesh","","9805515084-85, 9816587985","md.satyamhonda@gmail.com"
"Shyam Honda","Shyam Vasudev","Jwalamukhi Road, Nadaun,  177033","Hamirpur","Himachal Pradesh","","9817093977, 9816367694","arunvasudev977@yahoo.com"
"Bajreshwari Honda","Mr. Sandeep Bassi","Near Tara Mandir Vill Birta Po Ghurkari 176001","Kangra","Himachal Pradesh","","8894370122","bajreshwarihonda@yahoo.co.in"
"Bajreshwari Honda","Akshay Chaudhary","Bajreshwari Motors, Near Tara Mandir, Bpo, Ghurkari, Kangra, H.P. 176083","Kangra","Himachal Pradesh","","9805002514","palampurhonda@gmail.com"
"Bhatia Honda","Rajnish Kumar","Bhatia Honda, Bhanai (Tehsil Jawali) 176023","Kangra","Himachal Pradesh","","9816914723","bhatiamotor@gmail.com"
"R K Honda","Atul Mahajan","Nh-20, Jachh Post Office Jassur, Tehsil Nurpur , Dist: Kangra  176202","Kangra","Himachal Pradesh","","9816129818","atu.mahajan@gmail.com"
"Sahil Honda","Mr. Sazid Khan","Sultanpur, Chamba  176314","Kangra","Himachal Pradesh","","9805017575","khansanju.ks@gmail.com"
"A.G.Honda","Mr. Mohan Guleria","Nh-21 Gutkar Mandi H.P 175021","Mandi","Himachal Pradesh","","9816042896","aghonda.mandi@gmail.com"
"Lucky Honda","Sushil Rana","Near Balaji Hospital, Sehatalai Distt, Bilaspur 174030","Mandi","Himachal Pradesh","","9418179529","sushilrana65831@gmail.com"
"Padam Honda","Mr. Dinesh Sharma","Nh21, Gandhinagar, Kullu 175101","Mandi","Himachal Pradesh","","9418044018","new email id to be created"
"S.K.Honda","Sanjay Kumar","Vill.Kularu, P.O. Takerara, Ghumarvin  174023","Mandi","Himachal Pradesh","","9418094793","sk.honda1981@gmail.com"
"Chadha Honda","Tejender Singh","Nh-72, Near Baweja Petrol Pump, Paonta Sahib, Simour Distt. 173025","Solan","Himachal Pradesh","","9418061022","chadhascooter128@rediffmail.com"
"Shoolini Honda","Mr. Deepak Soni","Chandok Complex, Opp.State Bank Of Patiala, Basal Road, Chambaghat 173213","Solan","Himachal Pradesh","","8988284423","shoolinihonda@gmail.com"
"Shoolini Honda","Deepak Soni","Village Kirpalpur, Tehsil Nalagarh, Distt Solan 174101","Solan","Himachal Pradesh","","8988284423","harmanautomobilesnalagarh@gmail.com"
"B.B.N. Honda","Mr. Barjesh Thakur","Chintpurni Road, Mubarakpur 177202","Una","Himachal Pradesh","","9459136111","bbnhonda@gmail.com"
"M H Honda","Mr. Abhishek Gupta","Vill Lalsinghi , P.O. Rainsary, Tehsil & Distt. Una 174303","Una","Himachal Pradesh","","9463595009","salesmhhondauna@gmail.com"
