"Dealer Name","Contact Person","Address","City","State","Contact 1","Contact 2","Email"
"Modern Honda","Mr. Gangadhar Bansal","B-V 1148,Thana Road, Near Bus Stand 152116","Abohar","Punjab","","9356777774","modernhonda@yahoo.com"
"Trehan Honda","Ashok Trehan","Amritsar Road, Near HDFC Bank Ajnala  143102","Ajnala","Punjab","1858505500","9988307000","trehanhonda@gmail.com"
"M.S.Auto","Jatinder Singh","Opp. Sant Motors, Mehta Chowk, Mehta 143144","Amritsar","Punjab","","9592090079","ramanmehta0079@gmail.com"
"Singh Auto","Ravjot Singh","Singh Auto,Opp. Padda Petrol Pump, Gt Road, Rayya ( Amritsar ) 143112","Amritsar","Punjab","","9814050157","honda.singhautos@gmail.com"
"Arneja Honda","Mr. Vikas","Plot No.1332/42, Khasra No.2865/726, Near Bank Of India, Batala Road 143001","Amritsar","Punjab","0183-2579201","9888609614","arnejahonda@gmail.com"
"Aryan Honda","Mr. Gautam Sharma","1-B Court Road, Near Ioc Petrol Pump, Amritsar 143001","Amritsar","Punjab","183-2227600/01","9530552700","aryan_motors@yahoo.com"
"Bhagwati Honda","Mr. Ritesh Mundra","Anmol Palace,G.T.Road,Putligarh,Amritsar 143001","Amritsar","Punjab","","8558880002","riteshmundra@bhagwatihonda.com"
"Dhillon Honda","Sukhdev Singh","Zehra Motors, Udaipur Road, Bhinder  143001","Amritsar","Punjab","","9876090068","dhillonmotors.jandiala@gmail.com"
"Kb Honda","Sukhdev Singh","Near Bus Stand, Naushera Pannauan 143415","Amritsar","Punjab","","9872807904","mrzmotors@gmail.com"
"Mrz Honda","Mr. Zubin Khurana","G.T.Road,Ram Talai,Near Bus Stand,Amritsar 143001","Amritsar","Punjab","0183-2702396, 2702204, 6578409","9878662132, 9888703004","mrzmotors@gmail.com"
"Rai Honda","Mr. Xavier Rai","Phagwara Road,Banga,Dist-Sbs Nagar 144505","Banga","Punjab","","9876000082","rai.honda@yahoo.co.in"
"Global Honda","Mr. Praveen Kr Garg","Opp. Power Grid, Dhanaulla Road 148101","Barnala","Punjab","","9814035061","globalhonda2wheeler@yahoo.co.in"
"Krishna Honda","Mr. Nirmal Monga","Sunam Bypass Road, Near Vishkarma Mandir, Lehragaga - 148031 148031","Barnala","Punjab","","9815625719","nirmalmonga123@gmail.com"
"Bal Honda","Mr. Manjinder Singh Bal","Adda Umarpura,Jallandhar Road,Batala 143505","Batala","Punjab","","9888626255","msbal19@gmail.com"
"Cheema Honda","Gurvinder Cheema","Razada Road, Quadian 143516","Batala","Punjab","","9815429640","gurcheema5@gmail.com"
"Brar Honda","Mr. Rishikant Garg","2765-B, Near Tin Koni, 151001","Bhatinda","Punjab","0164-2255666","9914310666, 9855327666","brarshonda@gmail.com"
"International Honda","Mr. Raman Kumar","Guru Kashi Marg, Near New Bus Stand, Bathinda 151001","Bhatinda","Punjab","0164-5000066/77","9779538525","internationalhonda2wheeler@gmail.com"
"International Honda","Sahil Goyal","Bhatinda Barnala Road 151103","Bhatinda","Punjab","","9876512342","internationalhondawheeler@gmail.com"
"Shri Ganesh Honda","Saurav Singla","Kanchiya Road, Raman Mandi 151301","Bhatinda","Punjab","","9988613135","shriganeshhonda@gmail.com"
"Noble Honda","Jatinder Singh","G.T Road, oppt Police Station  Dhariwal 143519","Dhariwal","Punjab","1874500799","9888541004","jatinderhonda@yahoo.com"
"Gyan Honda","Mr. Dharamjit Singh","Circular Road Near Bus Stand Faridkot 151203","Faridkot","Punjab","01639-251200, 501274, 256507","9814045128","gyanhonda@rediffmail.com gyanmotors@yahoo.co.in"
"Gyan Honda","Jagmohan Singh Makkafr","Gyan Honda, Pheruman Chowk, Kotkapura 151204","Faridkot","Punjab","","9317835900","jaggimakkar@gmail.com"
"Makkar Honda","Jatinder Pal Singh","Bathinda Road, Near Truck Union, Jaitu, Punjab 151202","Faridkot","Punjab","","9463621121","makkarhonda@gmail.com"
"G.B.Honda","Aman Bhateja","Malout Road, Arniwala 152124","Fazilka","Punjab","","9501946711","amanbhateja08@gmail.com"
"Platinum Honda","Mr.Ashish Pupneja","Abohar Road Near City Garden 152123","Fazilka","Punjab","01638-267001","7529899990","platinumhondafazilka@gmail.com"
"Platinum Honda","Sandeep Gilhotra","Fazilka, Ferozpur Road, Jalalabad 152024","Fazilka","Punjab","","7529899990","platinumhondafazilka@gmail.com"
"Krishna Autos","Sandeep Kumar","Makhu Road Zira 142047","Firozpur","Punjab","","9888361701","krishna_autos@rediifmail.com"
"Gyan Honda","Mr. Dharamjit Singh","G.T. Road Ferozepur Cantt 152001","Firozpur","Punjab","","9814045128","gyanhonda@rediffmail.com"
"M.H. Honda","Vijay Gupta","Near Hotel Platinum, Chandigarh Road, Garhshankar, Distt. Hoshiarpur  144527","Garhshankar","Punjab","_","7527017763","mhhondagarhshankar@gmail.com"
"R.Honda","Mr. Dhruv Bahl","Batala Road 143521","Gurdaspur","Punjab","","9888800403","rautoshonda@gmail.com"
"Sarpanch Honda","Mr. Varinderjeet","Opp Bus Stand, Gurdaspur Road, Kalanaur Distt 143512","Gurdaspur","Punjab","","9872222310","sarpanchhonda@gmail.com"
"Jbs Honda","Ajay Sharma","B-1 /176A Opp. Civil Court Complex , G.T.Road, N.H.-1 , Dasuya. 144205","Hoshiarpur","Punjab","","9357160462","ajaysharma7716@yahoo.in"
"Shiv-Am Honda","Achin Maini","Dausya Hosiyaarpur Road, Gardhiwal 144207","Hoshiarpur","Punjab","","9463776810","shivammotors01@gmail.com"
"Ballu Honda","Mr. Gurjinder Ji","Khakha Road, Opp. Vishwakarma Mandir, Tanda, Punjab 144203","Hoshiarpur","Punjab","","9592990513","ballu.tr09@gmail.com"
"M.H. Honda","Mr. Vijay Gupta","Near Income Tax Office, The Mall 146001","Hoshiarpur","Punjab","","9872626753","hondahoshiarpur@gmail.com"
"Punj Honda","Mr. Ayodhianath Sharma","Near Parbhat Chowk, Jalandhar Road, Hoshiarpur 146001","Hoshiarpur","Punjab","","9814067064","punjhonda@hotmail.com"
"Punj Honda","Sunil San","Opp. Indian Bank,Hoshiarpur,Chandigarh Road,Garshnaker Distt.,Hoshiarpur 144527","Hoshiarpur","Punjab","","9888498200","punjhonda@yahoo.com"
"Speed Honda","Rakesh Sridhar","Dasuya Road, Hariana,Hoshiarpur,Punjab 144208 144208","Hoshiarpur","Punjab","","9888862251","rakeshsridhar@yahoo.com"
"Mehta Honda","Rajnish Mehta","Court Road, Sharma Market, Phillaur 144410","Jalandhar","Punjab","","9814975535","mehtaauto@yahoo.com"
"Nandha Motors","Swaran Singh","Nandha Motors, Malsian Road, Shahakot 144702","Jalandhar","Punjab","","9872553166","nandha_motors@yahoo.com"
"Balaji Honda","Sanjeev Mittal","Jalandhar Hoshiyarpur Road, Near Electricity Office 144102","Jalandhar","Punjab","","9814943131","balajihonda2w@gmail.com"
