"Dealer Name","Contact Person","Address","City","State","Contact 1","Contact 2","Email"
"Abhishek Honda","Avishek Bannerjee","Beniasol, Adra, Purulia 723121","Adra","West Bengal","7001063656","7001063656","banerjee.avisek872@gmail.com"
"Dooars Honda","Mill Road, Falakata, Alipurdwar","Mill Road, Falakata, Alipurdwar 735211","Alipurdwar","West Bengal","","8927232998","ronysahafkt@gmail.com"
"Kaysons Honda","Mr. Sandip Agrawal","Puran Bazar, Shantinagar, Ward No. 14, B.F. Road 736121","Alipurdwar","West Bengal","","9434743596","admin.apd@kaysonshonda.com"
"Shila Honda","Mr. Saurav Roy","Purba Chakchaka , Jorai Road,Barobisha, Alipurduar 736207 736207","Alipurdwar","West Bengal","","7001163030","shilaautomobiles.17@gmail.com"
"Janee Honda","Mr. Priyank Janee","79, G.T.Road - E, Murgasol, 713303","Asansol","West Bengal","","8001538680","janeehonda@yahoo.in"
"Jai Shree Honda","Anup Kumar Agarwal","Airport More,Above SBI,Bagdogra  734014","Bagdogra","West Bengal","7384408624","8250501221, 9002974322","hondajaishree@gmail.com"
"Jeet Honda","Priyajeet Garai","Ot Road, Beside Axis Bank, Bagnan, Howrah 711303","Bagnan","West Bengal","8170041999","9903355103","s.jeethonda@yahoo.com"
"Star Honda","Rahul Mandal","Hanskhali Road, P.O Bagula, Nadia 741502","Bagula","West Bengal","8436655554","8436655554","starhonda.bagula19@gmail.com"
"Tanima Honda","Soumyajit Ghosh","Baishnabnagar,Opp.Girls' High School,Baishnabnagar, Malda 732210","Baishnabnagar","West Bengal","8637361179","9635016509","tanimamotors@gmail.com"
"Aradhana Honda","Sandip Bhattacharya","22/24 Andul Road Howrah Near B.Garden 2nd Gate 711109","Bakultala","West Bengal","033-26580166","9830244256","aradhanaandulshowroom@gmail.com"
"Siddhi Honda","Dhilen Kumar Biswal","324, G. T. Road, Om Neer, Bally, Howrah 711201","Bally","West Bengal","3326544488","7980488608","siddhi.honda324@gmail.com"
"G.D Honda","Sarup Agarwala","City Plaza, New Market, Balurghat  733101","Balurghat","West Bengal","03522259111","8900776111","gitamotorsblg@gmail.com"
"Laxmishree Honda","Mr. Amit Kumar Saha","C.R. Market, Gangarampore 733124","Balurghat","West Bengal","","9002465520","laxmishree.honda@gmail.com"
"Aman Honda","Rabiul Islam","Bamanhat Bazar, Office Para 736168","Bamanhat","West Bengal","9679285012","9679285012","amanhondabamanhat@gmail.com"
"Dutta Honda","Anupam Dutta","Barjora Main Road District- Bankura 722202","Bankura","West Bengal","","8145301025","duttaauto.2018@gmail.com"
"Glorious Honda","Mr. Gautam Rakshit","At - Katjuridanga(Bankura-Chhatna Road),P.O- Kenduadihi,Distt- Bankura 722102","Bankura","West Bengal","","9474834187","glorious.honda@gmail.com"
"Ma Durga Honda","Mr. Nilanjan Dey","Station Road, Nh 60, Bishnupur, Bakura 722122","Bankura","West Bengal","","9732121498","madurgahonda@gmail.com"
"Puja Honda","Mr. Amit Biswas","At - Onda(Near Bdo Office), Po + Ps - Onda, Dist - Bankura 722146","Bankura","West Bengal","","7548946179","pujamotors66@gmail.com"
"Unique Honda","Mr. Atanu De","Rajapara More , P.O + P.S - Khatra , Bankura , West Bengal - 722140 722140","Bankura","West Bengal","","9474064391","uniquemotors.kht@gmail.com"
"Dan Honda","Aritra Dan","Manteswar Road, Kusumgram, Burdwan, West Bengal 713622","Bardhaman","West Bengal","","9775726096","danaritra@gmail.com"
"Ila Honda","Bishwajit Saha","Rameshwarpur, Stkk Road, Kalna, Dist: Burdwan 713409","Bardhaman","West Bengal","","9732191844","ilahondakalna@gmail.com"
